action_type,step,expected_utility,state_quality
ActionType.TRANSFORM,2,-0.16636845602825256,302.69999999999993
ActionType.TRANSFORM,3,-0.14894049052388447,302.74999999999994
ActionType.TRANSFORM,4,-0.13045643607922833,302.8
ActionType.TRANSFORM,5,-0.1108937583984107,302.85
ActionType.TRANSFORM,6,-0.09023186188854955,302.9
ActionType.TRANSFORM,7,-0.06845224331777441,302.95
ActionType.TRANSFORM,8,-0.016278960751778537,303.05999999999995
ActionType.TRANSFORM,9,0.009218243313433128,303.1099999999999
ActionType.TRANSFORM,10,0.03588798558600462,303.16
ActionType.TRANSFORM,11,0.06373582918074361,303.21
ActionType.TRANSFORM,12,0.09276454467762649,303.26
ActionType.TRANSFORM,13,0.1229740569402602,303.31
ActionType.TRANSFORM,14,0.19419988031657753,303.42
ActionType.TRANSFORM,15,0.22821840919289837,303.46999999999997
ActionType.TRANSFORM,16,0.26338860573088363,303.52000000000004
ActionType.TRANSFORM,17,0.2996953961185651,303.57000000000005
ActionType.TRANSFORM,18,0.33712096072033787,303.62
ActionType.TRANSFORM,19,0.37564482376588315,303.67
ActionType.TRANSFORM,20,0.41524396102140826,303.72
ActionType.TRANSFORM,21,0.5072489971150413,303.83
ActionType.TRANSFORM,22,0.5501898391883228,303.88000000000005
ActionType.TRANSFORM,23,0.5940860127457992,303.93
ActionType.TRANSFORM,24,0.6389033908251265,303.98
ActionType.TRANSFORM,25,0.684606275728616,304.03
ActionType.TRANSFORM,26,0.7311575913430652,304.08
ActionType.TRANSFORM,27,0.7785190792216805,304.13000000000005
ActionType.TRANSFORM,28,0.8266514964418542,304.18
ActionType.TRANSFORM,29,0.8755148133117487,304.23
ActionType.TRANSFORM,30,0.9250684090846023,304.28
ActionType.TRANSFORM,31,0.9752712639563372,304.33
ActionType.TRANSFORM,32,1.026082145751642,304.38000000000005
ActionType.TRANSFORM,33,1.0774597898576974,304.43
ActionType.TRANSFORM,34,1.129363071127877,304.48
ActionType.TRANSFORM,35,1.181751166648479,304.53
ActionType.TRANSFORM,36,1.2345837084436497,304.58
ActionType.TRANSFORM,37,1.2878209253682193,304.63000000000005
ActionType.TRANSFORM,38,1.3414237736183963,304.68
ActionType.TRANSFORM,39,1.3953540554609698,304.73
ActionType.TRANSFORM,40,1.449574525943012,304.78
ActionType.TRANSFORM,41,1.5040489875018803,304.83
ActionType.TRANSFORM,42,1.5587423725318765,304.88000000000005
ActionType.TRANSFORM,43,1.6136208140954273,304.93
ActionType.TRANSFORM,44,1.6686517050793843,304.98
ActionType.TRANSFORM,45,1.7238037461936628,305.03
ActionType.TRANSFORM,46,1.7790469832979705,305.08
ActionType.TRANSFORM,47,1.834352834606702,305.13000000000005
ActionType.TRANSFORM,48,1.8896941083805663,305.18
ActionType.TRANSFORM,49,1.94504501175388,305.23
ActionType.TRANSFORM,50,2.0003811513726926,305.28
ActionType.TRANSFORM,51,2.055679526540436,305.33
ActionType.TRANSFORM,52,2.1109185155690726,305.38000000000005
ActionType.TRANSFORM,53,2.1660778560342195,305.43
ActionType.TRANSFORM,54,2.221138619620315,305.48
ActionType.TRANSFORM,55,2.276083182221169,305.53
ActionType.TRANSFORM,56,2.400641710868284,305.64000000000004
ActionType.TRANSFORM,57,2.455171447508899,305.69
ActionType.TRANSFORM,58,2.5788575301548105,305.79999999999995
ActionType.TRANSFORM,59,2.632835732858897,305.85
ActionType.TRANSFORM,60,2.7553761796221288,305.96000000000004
ActionType.TRANSFORM,61,2.8087015749139814,306.01
ActionType.TRANSFORM,62,2.92989721975795,306.12
ActionType.TRANSFORM,63,2.9824991461539656,306.16999999999996
ActionType.TRANSFORM,64,3.1022141853461993,306.28000000000003
ActionType.TRANSFORM,65,3.1540476972040326,306.33
ActionType.TRANSFORM,66,3.2721991206040815,306.44
ActionType.TRANSFORM,67,3.323240308112691,306.49
